Standardised_Quarter,Overall unemployment rate,"Agriculture, forestry, fishing, mining, energy & water (A, B, D, E)",Manufacturing (C),Construction (F),"Wholesale, retail & repair of motor vehicles (G)",Transport & storage (H),Accommodation & food services (I),Information & communication (J),"Financial,  insurance & real estate activities (K, L)","Professional, scientific & technical activities (M)",Administrative & support services (N),Public admin & defence; social security (O),Education (P),Human health & social work activities (Q),"Other services (R, S, T)"
1995_Q1,8.9507078646269,7.375231297509243,8.859834663352032,13.064910851117492,7.983369276757192,6.908153582466074,11.1465284374548,6.811928057624031,4.014514734643959,4.325239280307215,11.097184354365607,4.562460682713638,3.4137527974208757,3.794349202979318,7.850067200955747
1995_Q2,8.595227706871697,6.481964438292664,7.964925259729054,12.458801477935204,7.424430804889987,7.007257229221636,9.962844717601453,6.54183452913817,4.032568800269498,4.372210683195709,11.033938555561027,4.298157887264846,3.639627646872818,3.7234235302354235,6.498981550393671
1995_Q3,8.88491212750266,6.122547747614164,7.979558974564892,11.686721376091125,7.589674214015601,7.369748491406887,9.459627041507732,6.411621675445491,4.262474361828356,4.432430266110933,10.113778284353552,4.484188334933492,4.579206967273109,3.513187143307234,6.842640814903501
1995_Q4,8.123446407326428,5.038841849283187,7.645848839622451,11.537069727778775,6.737550499456768,6.860964168080646,10.023650719585724,5.191764895185946,4.269882754259658,4.241875665846957,10.265008394029177,4.192403620902317,3.313536608281987,3.4211178543781084,7.259723094388672
1996_Q1,8.300880483243386,6.589230055997336,8.017046509503194,12.348846517986715,6.8111188813803984,7.463956374139892,11.251616355975722,4.903385665349081,3.9703216039712017,4.198554924177181,10.899347257018952,3.4457734507804045,3.400728640811367,3.2653684728573715,7.554345215595286
1996_Q2,8.192943464925477,6.126280564635415,7.83286631648336,11.471948136000396,6.841372144838815,5.970200614921323,10.701388810668949,5.784229367453794,3.2326217012811758,3.6062828946308225,9.48507983030725,3.9853211905467,3.2062154620561363,3.5080960037935047,7.53633799477723
1996_Q3,8.30569936055166,5.773316451959054,7.112408779426669,10.81163596118802,7.067237319938044,5.504691585269276,9.829541921672782,5.702598155442102,3.8862925586852253,4.2704272929511715,9.008960034791285,3.8293632834192417,3.491602694297579,3.5058202033021617,7.371951384932585
1996_Q4,7.655703103420149,5.8259683737124615,6.529267308133307,9.963171246346098,6.301097351889692,5.151218864568913,10.117939025493163,4.981940363170585,3.286349302838038,3.400049740951912,9.305664738680674,4.077526800198221,3.180498387772436,3.4035844856307285,6.8071988935117
1997_Q1,7.376654543786186,5.557146274242259,6.154853498086694,10.290505737985372,6.087887100334032,6.09982171958112,10.070804493022155,4.395465659447257,2.6289098014712393,3.0255675821882146,8.649735772927816,3.6085294184314782,2.6423889024811746,3.3257131992330575,6.412039680999186
1997_Q2,7.115846881215725,5.833717549098175,5.9999640763736295,9.164087683142293,5.828413798271352,5.432175976739659,9.097916568410131,3.454176673232773,2.835953205815472,2.789866191996072,8.807821054405128,3.646228974498101,2.8899733702474104,3.1849890975707984,5.630156720049548
1997_Q3,7.082262334667326,4.802167198930412,5.5461475831586995,8.425809963107252,5.498610580719792,4.299736496733254,8.953730432670309,3.626912796225535,2.8971090813226974,3.045660697720521,8.933519745669782,3.3307105121917187,3.449849934393429,3.3864003748579288,5.9878068468823455
1997_Q4,6.351595705345249,4.6977478729641575,5.356157666275891,7.385984576757531,5.110872644705034,4.47477402615022,8.658905191306122,3.8733184524938777,2.541027306442685,2.359110500584588,7.940488657569625,2.893704621392954,2.7787364783900053,3.0629992694743113,5.233069696222118
1998_Q1,6.4119258527373075,4.930144916756542,5.889861132750657,6.947290701164219,5.394472774935659,5.064398538574421,8.503624314841389,3.775060347648454,2.5382400091811887,2.721742929648503,7.732238130116582,3.1347217380505557,2.4446675901968975,2.906322377011699,5.253038948151823
1998_Q2,6.208339356247892,3.9442801992080723,5.7554771716050155,6.4934570642030645,5.50205073889236,5.0517122654977245,7.505504758350439,3.8597498496541522,2.15536776932221,2.5349831656789563,6.41355967993113,3.1730864175927467,2.6238730949251803,2.837423592103726,5.087550876193502
1998_Q3,6.473321050184275,3.713570130317831,5.925976988518357,6.162128472103772,5.195808689408413,4.794106143793545,7.862614307658999,3.6075928592822355,2.4572224074715576,2.673859783124872,6.688107504827963,2.5638214448974432,3.4584042611337975,2.7240995883860353,4.9833610308104275
1998_Q4,5.960214026800792,4.643386035153047,5.7074392175728095,5.98827394591805,4.634688441733278,4.598407452498879,7.796743152081106,3.998129092609916,2.5726841308339745,2.7102941293757428,7.272240300280035,2.1473164133891496,2.7072443713599252,2.478430566967954,4.92546050280901
1999_Q1,6.2261750793181,5.193847544081644,6.15211144994682,6.857239023521819,5.122668717110352,4.927278416123706,9.079886330728609,4.211639499502483,2.252090501362671,2.6235725494350635,7.389706618699685,2.566180694644992,2.220313271069033,2.408764268689638,5.056571371555372
1999_Q2,5.951071192953945,4.722206651957013,6.051691110415032,6.335653963363723,4.630228912840711,4.699928553630711,7.90569487529176,3.7972876921564627,3.0476108667182547,2.7138796663581632,6.610822805757584,1.9471594980182545,2.4386733408326995,2.2876235122796698,3.9712530975468403
1999_Q3,6.1088574559191,4.298258573363509,5.702513531035863,5.878810149944012,4.4960326175611005,4.157101057843799,7.90415761119755,4.100386072033735,2.6707675811423774,2.8914882763715677,6.623933720522607,2.0567813909155124,2.6645759299293914,2.933701785710199,4.104509396435048
1999_Q4,5.631757614987228,3.4352161091985143,5.112517283556968,5.888273279411664,4.319685971519932,3.7664360097633423,8.189833829458532,3.6560545996975766,2.153831798954964,2.5870468817973493,6.880903550842025,2.209703843579549,2.5784684212340507,2.4290478223529237,4.441119871628592
2000_Q1,5.845343657237175,3.2639236112478134,5.832754825601084,5.763794176303435,4.9200082445769695,3.910400290201489,8.265802924430641,3.889004664881935,2.2758953804175124,2.054610966019923,6.560457429321064,2.141851317175601,2.1840651680291643,2.7161814555534547,4.826325928329946
2000_Q2,5.382752037032637,3.5314873399865334,5.323444714361557,5.894200612266215,4.610860993151661,3.3976466977961035,7.066684860257172,3.2431515888873155,2.4712482964903275,1.883576848274104,6.522334303523252,1.6229802931302328,1.9267960747797437,2.205955298185132,3.6201381153337118
2000_Q3,5.540001257658161,3.7645263043126818,4.955959503477267,4.5253718833613314,4.720921010945904,3.2364847848503797,6.976650920659404,2.9004839073936077,2.1521617818738297,2.1280906836698548,5.955888643635679,1.4284486942490517,2.438554777115185,2.553057692270252,4.150307273527721
2000_Q4,5.066315787193557,3.7001933841200514,4.74374433341682,4.775510075648841,4.413857638702788,3.25937346521358,7.2031998349291495,2.577840821896218,1.7091926278997593,1.9899733355074514,5.934183398107255,1.622454629755231,2.0259607594490823,2.3323874792358463,4.326202563062764
2001_Q1,5.1378063623417685,3.635334916535481,4.821396536013769,5.238012853090545,4.439387943847602,4.302483013117211,7.66604693947619,3.4095945025200294,2.0290140731326565,1.7077526971774832,5.642325919505683,1.629672861885582,1.6739314499930693,2.2831893278497297,4.122913958276376
2001_Q2,4.8955517750585065,3.636945674661756,4.996032803823153,4.037158339466101,4.049757402730175,3.8572513382453244,7.295611905863174,3.4546430505764323,1.573009261921771,1.808155413316737,5.378281915053537,1.5620807422083791,1.611088545807295,1.7118248515969867,3.724229957887743
2001_Q3,5.312915809756374,3.394303056090265,4.789556719534214,3.932004355853702,4.303977302249707,3.8637258885452948,6.739092986666972,4.3092862473200215,2.294228108255448,2.6245645886098306,5.812819987712472,1.7519130408227883,2.0461718175499852,2.0911401231813476,3.569661883018047
2001_Q4,5.041604449441895,3.022506492257382,4.634883790311347,4.095640888458449,4.225298873284365,3.782161891290771,6.527182820747707,4.403984741340646,2.345025140123906,2.0784665815795504,6.28173282328978,1.807836922276131,1.7610843699079857,2.1319713774185267,4.458844430110876
2002_Q1,5.2049758219810895,3.016671293045736,5.42944892681536,4.876221188999637,4.819721516388837,4.135656105261864,7.641883955480959,5.101152247986809,2.5632834732238168,2.447765161428225,6.446520183750694,1.66849534546166,1.9097278490886314,1.9703680732056459,4.2607562482121475
2002_Q2,5.017781589715456,2.9485317898149614,5.242768285889237,4.817106341172523,4.556816679084379,3.7529116678695225,6.87076793544686,4.581909706706265,2.6574597884374116,2.3083974151589812,6.6318856346920185,1.5248806733258522,1.5694083356038402,2.194252083607788,4.172889179615664
2002_Q3,5.52203846709848,4.002477838073017,5.250577888416244,4.558902312547649,4.630375398552129,3.8319301619457966,7.992715294254224,4.97303411128033,2.6434540975805962,1.7030614764503147,6.317028599428448,1.9977902944695431,2.623490281997754,2.5819281650236188,3.9882265394530525
2002_Q4,4.99503468736139,3.1003220171556456,4.73525878384694,3.9546399158478076,4.224342791962976,3.8880427685921495,7.822712097737938,4.428575158840261,2.524642047380948,1.8820640814918528,6.313970616006345,1.3976438172574466,2.041787514787093,2.4580728633638227,3.854218759596066
2003_Q1,5.184597971541802,4.253321738541202,5.6115296264769166,4.567295429789595,4.498399225705063,3.9850112981246895,7.386140006674538,5.173030379043138,3.204595621181059,2.149580851893587,5.774425875447412,1.9176531174264644,2.0228182337319196,2.128441758254735,4.249397866651821
2003_Q2,4.802253136872218,3.5427385076893976,5.151221899645166,3.8660496538770315,4.3480855185158385,3.655893919380414,7.828179182688596,4.807549237095553,2.994784888322928,2.4215769826640274,5.197147802257239,1.5213591661569879,1.5088239310960543,2.1036740529299673,3.6090959821428568
2003_Q3,5.259382900800827,2.6903955268122566,5.003426187104861,3.5434493954020763,4.445745073375813,3.7067739309273056,7.712822382210881,4.80815308095246,3.093255723689455,2.5049617393250942,5.1685862301450065,1.4495572165576633,2.0191175069639193,2.2356336392956413,4.0712348582993165
2003_Q4,4.783081004310017,2.7616767069312584,4.58673178756351,4.185325855386955,3.6656695131545467,3.6150596474227297,7.8028838841549595,4.432371605975053,2.5273017246039897,2.3787279286274154,5.503597890376444,1.511857218089725,1.7385327738388074,2.180477185675728,3.5185493631107736
2004_Q1,4.799299419178017,3.6366963344653938,4.623156220337988,4.340292356486296,4.091558172001473,3.7070119468932186,7.842507937694321,3.6366418780865093,2.8204960584762135,2.1602539774335994,5.997025371828522,1.6769159725148692,1.7894064786709674,2.054532074293326,3.999650769009191
2004_Q2,4.676948509312677,3.2644906285123216,4.718945615692799,4.002409049141706,3.844633528665091,4.071252865384158,7.3534559838388525,3.1888303389900834,2.6416690426109923,1.9307216083123677,4.909813930699725,1.4175398694115149,1.5338568881785208,2.144295349629866,3.3171447015446267
2004_Q3,4.898048812655484,2.389046773481403,3.6531943279763066,3.0698384379026664,3.7720599696341663,3.7539212094766676,7.17818045240138,3.914641016922983,2.7421741164456437,2.131071584140011,5.789426427662663,1.6090645467848756,1.787788990242073,2.3445626812389255,2.8899777340513673
2004_Q4,4.61491017872815,2.782514178085886,3.74030166993612,3.7486517213105524,3.9552651518450457,3.887650180870645,7.013009559969656,3.2766236746374022,3.2121959418556756,2.2524799694772986,5.823581639880685,1.5392135332210655,1.605640560734297,1.8841252980712957,3.018391554275273
2005_Q1,4.679576328257933,2.4810217070783245,4.321575226284163,3.6293349946486475,4.413224254539895,4.130643374504869,6.745201550405206,2.959016678263508,3.3919232517203612,2.3365780363691395,6.388733807477891,1.3533855171176403,1.697968782510265,1.8959287953931785,3.5031279702470255
2005_Q2,4.638420930889343,2.7841164683269946,4.450391559804346,3.5001988704784424,4.230810962433464,4.019855016230117,6.702633134545019,3.5787192947913127,3.03227232833761,1.8248287838993116,5.467921816827383,1.775768356120783,1.5032403281115458,2.0519942791959718,2.8890605486767353
2005_Q3,4.949708183854844,2.289301622577971,4.64986018046864,3.087800832412889,4.358453849896068,4.0279628968231265,7.5937023482769135,3.402158571319906,2.7316823128328167,2.0051696966100243,5.125827005952018,1.778028456512835,2.0780549078647006,2.093225264459885,3.339868017067361
2005_Q4,5.025795806387009,3.1563482076385365,4.789096249289841,3.32603042347938,4.344150812771855,3.700386427272689,7.6391867778625775,3.5672487440901466,2.6385309666787027,2.381289682795214,5.924571165847425,1.7379929888606802,1.8233507038008154,2.1010389835295786,3.24235277954373
2006_Q1,5.222370436349961,3.1981720051432827,5.067570199429266,3.705367745490109,5.117667489897123,3.9978258311160935,7.631595315863652,3.6180864312607843,3.10292794457628,2.263270919271369,6.624777254373584,1.9613364949018768,1.7282248159506945,2.3755325770857647,3.136999079076338
2006_Q2,5.373036087342243,2.428870452955579,4.86243400443385,4.122637847894999,5.305276973028324,3.8152336580631308,8.414080635661241,3.554117639116728,2.6544987992910407,2.487302578976502,7.648833284488596,1.8352375730523236,1.7929755039143043,2.4547185577884627,3.4924426319707416
2006_Q3,5.703134153122574,3.109996592774617,4.522934522739542,4.021104472845699,5.524112750148596,3.5473202253182476,8.059936210265803,3.3018027093287703,2.41738988846373,2.2881812097177203,6.341022273977355,2.0018516682819043,2.3964066666816866,2.3518099532212933,3.6392895742693625
2006_Q4,5.371851046703531,2.2103173448355706,4.716899254987367,3.7203047631627713,4.886805562803377,3.6782859220048847,7.994853161577097,3.3317637424506095,2.7863060280387915,2.254692245104505,6.466400174192409,1.8733747305832464,2.32665159729783,2.3224607157706636,3.5393652833352767
2007_Q1,5.5017797090283445,2.6188984421982844,5.210076443552164,4.08133694860303,5.640682134638451,4.1100077226433225,8.790861014167263,3.183995283456543,2.921556492674531,2.4499230929483784,6.329214713045986,1.6750312561389555,1.9671324823902783,2.9309973929103657,3.583644821261986
2007_Q2,5.258736432852746,2.4822247362054024,4.537047317480416,3.7124057910435724,5.682884218279627,3.751497963258103,8.65975117161505,2.566353308530428,2.1662828852871323,2.0272595984765154,5.9053279420071085,1.7854228906432068,1.742064451585633,2.6752432835652202,3.666849680137692
2007_Q3,5.535726655209258,2.1365693260745307,4.805278988522998,2.926534129857077,5.420493280173438,3.6334849349348435,8.202814532445018,2.9397357443506094,2.185238062581438,1.7490780313854057,6.085946342654276,1.797858919538969,2.132575528638914,2.287628280216892,3.731353869286052
2007_Q4,5.020316297910075,2.4607607440387564,4.148972235369647,2.946501820054907,4.4607348734539425,3.5939538141939225,7.332615851670599,3.7997305012053193,2.259965862248763,1.7977643102508754,5.451774161388277,2.1094334973034963,1.8737715210465047,2.464928625410752,3.942631667388288
2008_Q1,5.170648799342789,2.5208553594785155,4.6339921729498394,4.001046216695801,4.861188523413819,4.063260828773032,7.895874833793076,3.9306716186939026,2.449935163764189,1.7388134434596,5.953372581685044,1.9881076258447867,1.6241126830706245,2.5767399009623646,3.9423546172009405
2008_Q2,5.261448541973323,2.8288413253457514,4.962029698044419,4.089659466308131,5.359376061836035,4.645051366165478,6.92514936007169,3.4750050749208685,2.3853693627458745,1.696113412047879,4.773772690698234,2.0886888713411342,1.8592772751285649,2.606295279882709,3.810926756453519
2008_Q3,6.083677088231915,2.620946508755637,4.951009478018041,5.023532637864126,5.493788084768531,4.390792778765222,8.343436507086501,3.3686549947367306,2.9904795687618373,2.134490365834958,6.254614155372044,1.842369838755299,2.7227031555431442,2.7240115902388626,4.135805835833106
2008_Q4,6.212063237875283,2.691346174672459,6.035820876550376,6.303984000209333,5.537436374726569,4.640003613601736,8.620809253566984,3.5220048206909658,3.5804922459527564,2.594079473775875,7.176862383935015,1.8765139092192387,2.16116730565299,2.7528207407453777,4.321513079865449
2009_Q1,7.062884196328223,3.5726089675457304,7.722013833346039,8.209180402066911,6.980201517998373,5.373302077260002,10.064223243881875,4.234981905464263,3.8336233611824166,4.007523193386094,8.135362664297055,2.14122416616258,2.4108743088469264,2.7297896844983804,5.060361066135335
2009_Q2,7.680363817764152,3.9112220814930674,8.942411714610175,9.44450392048332,7.363681120648014,5.811501282673248,10.560987540038605,5.039799216555276,4.940305719721503,4.4576191177142395,8.819143195531666,2.619625279752827,2.2079463631340035,2.378642120308974,4.947638884884827
2009_Q3,8.068471377776962,4.927821324431722,8.122518504875307,9.755044904788726,7.270885451696571,6.690598877308399,10.227774250130453,6.254135117253547,4.807890336416283,3.576612284025033,9.83801501696078,2.1659051157911926,2.6702252135407574,2.722848756372625,5.198160681847287
2009_Q4,7.632498673081479,4.244606457372415,7.277673572070779,8.865756834487549,6.780759151520973,6.34365293594432,10.088796656615623,4.845667834470801,3.9587945607467394,4.072736115371721,9.702273421091816,2.6983774305513855,2.829066715595159,2.9686148406524504,5.319977987538261
2010_Q1,7.998436546439488,4.83753151582271,7.655689778626508,9.750255229444935,7.603176526307674,6.575641544320901,11.362945362102224,5.232195675305743,4.4011185808638045,4.079846643230931,10.177818178104157,2.749940411490781,2.566868161219823,3.020771912205353,5.996024734982332
2010_Q2,7.764572691643883,4.343067082920887,6.673528723420485,9.00432389953314,7.707273516383038,6.240333552547783,10.833692450243488,5.561388741854028,4.112009351905478,3.7146792649380664,9.126957737885078,2.3538248449202146,2.5501918677232185,3.11731854264156,5.004074201313914
2010_Q3,7.9754639523801325,4.561956058153203,6.833520846181834,7.453112233990544,7.473215201813015,5.552013178068911,10.533713550906688,5.004005787248592,4.141814537245341,3.4619855605077277,9.413939685107367,2.623089338750563,3.162358991486876,3.6488450602509284,5.17708026547909
2010_Q4,7.731054932742887,4.199148745519713,6.557092511921109,8.254881529098972,7.041417356007082,5.9349020306750395,11.003523432384398,5.196975066855073,3.6400042954538905,2.9997248242533923,9.206342937261795,2.7195830618892507,3.2290658100483123,3.20027736817285,4.933826010828471
2011_Q1,7.760913509632991,3.2322763043835447,6.184786855175277,8.174924591807892,7.304198560112875,6.379649112848187,10.843266619314877,4.8282925383057,3.683507961357076,3.2688807118694387,9.889127287534432,3.042102084837004,2.8452556244221485,3.085762174339027,5.858626010604604
2011_Q2,7.847571871799573,3.3980006625659205,5.62717424320458,8.041959943296018,7.279636228736126,5.590004488415381,11.594444542127029,5.02830517562658,3.7669136084921298,3.9503282340432486,9.303248277220737,3.1363126701906134,2.798298613570091,3.277960412996191,6.172638773513231
2011_Q3,8.555846351035541,4.600645497360549,6.323944794919402,7.441738055256465,7.687503158552442,5.345190329303324,12.32311010266138,4.218172952766215,4.7957293030449195,3.511514376996805,9.573887727599264,3.505835244029952,3.564608282905337,3.5942263979060556,5.584128597121266
2011_Q4,8.260395089964213,4.447349018030699,5.855491435160699,7.320257199609559,7.778202905157699,5.849834847912182,11.296714686563243,5.037295113586152,4.039282072226643,3.0665661385877643,8.956796769851952,3.1359862659659705,3.469049331816844,3.6358478987025205,6.340564704880052
2012_Q1,8.185271299796744,4.44252833629172,6.371585026128105,7.66667970830863,8.121609163910698,6.038788116121241,10.969320457610808,4.51753313361457,4.458748083071974,3.5561871179184252,8.874215653512236,2.6556646274956135,3.2226704813086613,3.9078123430664844,7.326957744479899
2012_Q2,7.910604288263615,4.968288207076398,6.381382031177623,7.617588456463903,7.663370726333427,6.003860478303567,10.20419064034708,4.220135965202953,4.070316848686737,3.890806974683738,8.015359031600042,3.257722797620229,3.0058590032383345,3.5198333943532827,5.000313930799993
2012_Q3,8.086697878354473,3.75323403025997,6.1619356260360165,7.119451560816476,7.164588320655501,5.715890501729029,9.895063976096234,5.062339521917178,3.7812709313240918,3.533382616138822,8.16554203499107,2.787968225663331,3.852325915516891,3.57767185337979,5.331143816382253
2012_Q4,7.679739744760806,4.199746772032786,6.048551367928335,6.129513909056488,6.645380213558869,5.85226760121325,10.751835255535644,4.6854284530841666,3.7626264872537445,3.135286558978323,8.562290170893597,3.0416050107153794,3.4081480392584997,3.739413586535227,4.650257166051086
2013_Q1,7.819149541047123,4.522186238127898,6.561407639794912,7.344545336304977,7.701087735510789,6.448930242272084,11.722736273500582,4.201752112555155,3.2022040353293897,3.187742171258189,8.14673689665042,2.3229132104215644,2.9013536637440662,3.9202427796134747,5.424840964797665
2013_Q2,7.670391694884696,3.9644692598567994,6.418552558195392,6.087892407945219,7.9287491256209375,6.644035010867941,10.90929437894085,3.9723514489460334,3.304635434407836,3.1217139978663133,7.920538989853494,2.4009624581633826,2.418446173405549,3.683424506063389,6.264539831629485
2013_Q3,7.842283489666689,4.352189801953169,5.699856989631749,5.166335419073359,7.544258163896729,5.393662409320264,9.972995002523454,4.457440961597944,3.321411965057807,2.487406548782806,8.009375109022116,2.612401707271965,3.348335177856688,3.949577652029443,5.938648381154865
2013_Q4,7.082869040800496,4.745712308633715,4.850256258107117,5.0212585162518515,6.3886852463308355,5.249155278351364,9.375859785584048,3.759477048545312,2.8046882383232816,2.876363997059486,7.828101726706019,2.4382241020248814,3.0341047419104843,3.3618118036208804,4.848093946515322
2014_Q1,6.729857695042564,3.6159609127600802,5.170639908108426,4.808032855311282,6.212468055648209,5.7892327227289515,8.66438894851771,4.057389321369023,2.7950624203885983,2.683041213864661,7.4361986702333365,2.3944945761305463,2.4643275184128686,3.2764410030118074,4.7148291151567925
